element,pseudopotential
Ac,PBE/Ac/POTCAR
Ag,PBE/Ag/POTCAR
Al,PBE/Al/POTCAR
Am,PBE/Am/POTCAR
Ar,PBE/Ar/POTCAR
As,PBE/As/POTCAR
At,PBE/At/POTCAR
Au,PBE/Au/POTCAR
B,PBE/B/POTCAR
Be,PBE/Be/POTCAR
Bi,PBE/Bi/POTCAR
Br,PBE/Br/POTCAR
C,PBE/C/POTCAR
Cd,PBE/Cd/POTCAR
Ce,PBE/Ce/POTCAR
Cf,PBE/Cf/POTCAR
Cl,PBE/Cl/POTCAR
Cm,PBE/Cm/POTCAR
Co,PBE/Co/POTCAR
Cr,PBE/Cr/POTCAR
Cu,PBE/Cu/POTCAR
Dy,PBE/Dy/POTCAR
Er,PBE/Er/POTCAR
Eu,PBE/Eu/POTCAR
F,PBE/F/POTCAR
Fe,PBE/Fe/POTCAR
Ga,PBE/Ga/POTCAR
Gd,PBE/Gd/POTCAR
Ge,PBE/Ge/POTCAR
H,PBE/H/POTCAR
He,PBE/He/POTCAR
Hf,PBE/Hf/POTCAR
Hg,PBE/Hg/POTCAR
Ho,PBE/Ho/POTCAR
I,PBE/I/POTCAR
In,PBE/In/POTCAR
Ir,PBE/Ir/POTCAR
Kr,PBE/Kr/POTCAR
La,PBE/La/POTCAR
Li,PBE/Li/POTCAR
Lu,PBE/Lu/POTCAR
Mg,PBE/Mg/POTCAR
Mn,PBE/Mn/POTCAR
Mo,PBE/Mo/POTCAR
N,PBE/N/POTCAR
Na,PBE/Na/POTCAR
Nd,PBE/Nd/POTCAR
Ne,PBE/Ne/POTCAR
Ni,PBE/Ni/POTCAR
Np,PBE/Np/POTCAR
O,PBE/O/POTCAR
Os,PBE/Os/POTCAR
P,PBE/P/POTCAR
Pa,PBE/Pa/POTCAR
Pb,PBE/Pb/POTCAR
Pd,PBE/Pd/POTCAR
Pm,PBE/Pm/POTCAR
Po,PBE/Po/POTCAR
Pr,PBE/Pr/POTCAR
Pt,PBE/Pt/POTCAR
Pu,PBE/Pu/POTCAR
Re,PBE/Re/POTCAR
Rh,PBE/Rh/POTCAR
Rn,PBE/Rn/POTCAR
Ru,PBE/Ru/POTCAR
S,PBE/S/POTCAR
Sb,PBE/Sb/POTCAR
Sc,PBE/Sc/POTCAR
Se,PBE/Se/POTCAR
Si,PBE/Si/POTCAR
Sm,PBE/Sm/POTCAR
Sn,PBE/Sn/POTCAR
Ta,PBE/Ta/POTCAR
Tb,PBE/Tb/POTCAR
Tc,PBE/Tc/POTCAR
Te,PBE/Te/POTCAR
Th,PBE/Th/POTCAR
Ti,PBE/Ti/POTCAR
Tl,PBE/Tl/POTCAR
Tm,PBE/Tm/POTCAR
U,PBE/U/POTCAR
V,PBE/V/POTCAR
W,PBE/W/POTCAR
Xe,PBE/Xe/POTCAR
Yb,PBE/Yb/POTCAR
Zn,PBE/Zn/POTCAR
